City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Padang,ID,2022-01-25 10:00:28,-0.9492,100.3543,84.25,79,99,3.67
104,Jimenez,MX,2022-01-25 10:02:59,28.3333,-105.4,45.75,37,0,2.21
105,Magistralnyy,RU,2022-01-25 10:02:59,56.1725,107.4458,-4.85,100,98,1.12
106,Sangar,RU,2022-01-25 10:03:00,63.9242,127.4739,-31.45,100,100,1.39
107,Workington,GB,2022-01-25 10:03:00,54.6425,-3.5441,38.98,96,95,7.81
108,Clyde River,CA,2022-01-25 10:03:01,70.4692,-68.5914,-8.61,93,100,7.78
109,Saint George,US,2022-01-25 10:01:10,37.1041,-113.5841,49.53,51,0,0.0
110,Belmonte,BR,2022-01-25 10:03:01,-15.8631,-38.8828,75.7,88,100,4.72
111,Kapaa,US,2022-01-25 09:59:20,22.0752,-159.319,65.12,59,2,8.28
112,Leningradskiy,RU,2022-01-25 10:03:01,69.3833,178.4167,-12.3,84,100,15.05
113,Lithakia,GR,2022-01-25 10:03:02,37.7167,20.8333,45.59,47,16,21.39
114,Tessalit,ML,2022-01-25 10:02:11,20.1986,1.0114,70.18,13,68,14.94
115,Dikson,RU,2022-01-25 10:03:02,73.5069,80.5464,11.46,84,100,35.61
116,Weligama,LK,2022-01-25 10:03:03,5.9667,80.4167,81.43,60,100,9.17
117,Amol,IR,2022-01-25 10:03:03,36.4696,52.3507,58.17,40,1,4.9
118,Khrebtovaya,RU,2022-01-25 10:03:04,56.7032,104.2494,-6.57,100,100,3.24
119,Saint-Philippe,RE,2022-01-25 10:03:04,-21.3585,55.7679,83.79,64,61,13.51
120,Palmer,US,2022-01-25 10:03:04,42.1584,-72.3287,31.14,82,100,0.0
121,Fort Nelson,CA,2022-01-25 10:03:05,58.8053,-122.7002,19.8,95,100,1.03
122,Kargasok,RU,2022-01-25 10:03:05,59.0556,80.8572,4.28,97,98,5.03
123,Pisco,PE,2022-01-25 10:03:05,-13.7,-76.2167,66.25,88,0,9.22
124,Bima,ID,2022-01-25 10:03:06,-8.4667,118.7167,80.65,89,74,3.27
125,Port Alfred,ZA,2022-01-25 10:03:06,-33.5906,26.891,78.87,66,35,14.0
126,Aitape,PG,2022-01-25 10:03:07,-3.1374,142.3475,80.1,82,99,3.11
127,Geldermalsen,NL,2022-01-25 10:03:07,51.8667,5.2833,40.03,82,2,2.35
128,Thompson,CA,2022-01-25 10:03:08,55.7435,-97.8558,-20.85,93,8,6.93
129,Port Hardy,CA,2022-01-25 10:00:26,50.6996,-127.4199,39.76,83,89,3.56
130,Bull Savanna,JM,2022-01-25 10:03:08,17.8868,-77.5902,69.42,84,0,5.26
131,Thongwa,MM,2022-01-25 10:03:09,16.7619,96.5278,89.76,36,0,7.29
132,Longyearbyen,SJ,2022-01-25 10:03:09,78.2186,15.6401,19.24,68,40,20.71
133,Cadillac,US,2022-01-25 10:03:09,44.2519,-85.4012,11.44,85,100,3.44
134,Carutapera,BR,2022-01-25 10:03:10,-1.195,-46.02,77.58,86,91,6.26
135,Yumen,CN,2022-01-25 10:04:10,40.2833,97.2,25.7,28,87,5.08
136,Manono,CD,2022-01-25 10:04:10,-7.3,27.4167,79.02,78,100,6.51
137,Saldanha,ZA,2022-01-25 10:04:11,-33.0117,17.9442,69.01,77,16,19.26
138,Khatanga,RU,2022-01-25 10:04:11,71.9667,102.5,12.51,87,100,18.32
139,Cockburn Town,TC,2022-01-25 10:04:12,21.4612,-71.1419,76.66,74,5,2.46
140,Geraldton,AU,2022-01-25 10:04:12,-28.7667,114.6,75.61,64,1,26.46
141,Asosa,ET,2022-01-25 10:04:13,10.0667,34.5333,84.0,18,91,5.48
142,Lata,PT,2022-01-25 10:04:13,40.1629,-8.3327,49.08,61,0,4.7
143,Iquique,CL,2022-01-25 10:04:13,-20.2208,-70.1431,68.04,77,96,0.76
144,Upernavik,GL,2022-01-25 10:04:14,72.7868,-56.1549,-8.75,82,100,9.17
145,Hambantota,LK,2022-01-25 10:04:14,6.1241,81.1185,86.34,70,20,6.91
146,Torbay,CA,2022-01-25 10:00:26,47.6666,-52.7314,33.76,95,100,19.57
